name;type;link;address;zipcode
4 êlÇments (Le);Club;http://www.bar4elements.com;149 rue Amelot;75011
79 Club;Club;http://www.79paris.com/;22 rue Quentin Bauchard;75008
Alcazar Club (L');Restaurant/Club;http://www.alcazar.fr/fr;62 Rue Mazarine;75006
Aquarium de Paris;Club;http://www.laquarium-leclub.com/;5 Avenue Albert de Mun;75016
Arc (L');Club;www.larc-paris.com;12 Rue de Presbourg;75016
Badaboum;Pub ˙ Concert Venue ˙ Dance Club;http://badaboum.paris/;2bis, rue des Taillandiers;75011
Balajo (Le);Club;http://www.balajo.fr;9 Rue de Lappe;75011
Balle au Bond (La);Club;http://www.laballeaubond.fr/Bienvenue.html;Port des Saints-Päres Face au 3 quai Malaquais;75006
Baron (Le);Club;http://www.lebaron.jp/en/;6 Avenue Marceau;75008
Batofar;Club;http://www.batofar.org/;11 Quai Franáois Mauriac;75013
Belleviloise (La);Club;http://www.labellevilloise.com;21 rue Boyer;75020
Bizen (Le);Club;http://www.bizen.fr/;111 rue RÇaumur;75002
Blue (Le);Club;https://www.facebook.com/leblueclub?fref=ts;14 rue Muller;75018
Bus Palladium;Club;http://www.lebuspalladium.com/;6 Rue Pierre Fontaine;75009
Cab (Le);Club;http://www.cabaret.fr;2 place du Palais Royal;75001
CafÇ Oz Blanche;Bar++;http://www.cafe-oz.com/blanche;1 Rue de Bruxelles;75009
CafÇ Oz Chatelet;Bar++;http://www.cafe-oz.com/chatelet;18 Rue Saint-Denis;75001
CafÇ Oz Denfert;Bar++;http://www.cafe-oz.com/denfert-rochereau;3 Place Denfert-Rochereau;75014
CafÇ Oz Grands Boulevards;Bar++;http://www.cafe-oz.com/grands-boulevards;8 Boulevard Montmartre;75009
Calvados (Le);Club;https://www.facebook.com/calavados/timeline;40 avenue Pierre 1er de Serbie;75008
Carmen (Le);Club;http://www.le-carmen.fr/;34 Rue DuperrÇ;75009
Chacha (Le);Club;http://www.chachaclub.fr;47 Rue Berger;75001
Chez Castel;Club;http://www.castelparis.com/;15 Rue Princesse;75006
Chez Moune;Club;http://www.facebook.com/pages/Chez-Moune/106237389421362;54 rue Jean Baptiste Pigalle;75009
Chez Papillon;Club;https://www.facebook.com/ChezPapillion/;49 Rue Ponthieu;75008
Chez RÇgine;Club;;49 Rue de Ponthieu;75008
Cirque bonheur (Le);Club;http://cirquebonheur.com;34 rue Marbeuf;75008
Club des 4 vents (Le);Club;http://www.club4vents.com/;18 rue des 4 vents;75006
Concräte;Club;http://www.concreteparis.fr/index.php?page=Home;69 Port de la RapÇe;75012
Confiserie (La);Club;http://www.laconfiserie.club/;77 rue Jean Baptiste Pigalle;75009
Divan du Monde (Le);Club;http://www.divandumonde.com/;75 rue des Martyrs;75018
Djoon;Bar/Restaurant/Club;http://www.djoon.fr/;22 boulevard Vincent Auriol;75013
Duplex (Le);Club;http://www.leduplex.com/;2 bis Avenue Foch;75116
EKO;Club;http://www.ekoclub.fr/;14, rue Saint Fiacre;75002
El Chihuahua;Restaurant/Bar++;http://www.elchihuahuarestaurant.com/;36 Boulevard de la Bastille;75012
êtoiles (Les);Club;http://www.etoiles-paris.com/;61 rue du ChÉteau d'Eau;75010
Faust (Le);Restaurant/Club;http://www.faustparis.fr/;Sous le pont Alexandre III, Rive Gauche;75007
Fläche d'Or (La);Salle de Concert;http://www.flechedor.fr/;102 bis rue de Bagnolet;75020
Glaz'Art (Le ou La Plage du);Club Plage;http://www.glazart.com;7-15 Avenue de la porte de la villette;75019
Globo (Le);Club;http://www.leglobo.fr/;8 Boulevard de Strasbourg;75010
Hippodrome (L');Club/Hippodrome;;2 Route des Tribunes;75116
Java (La);Salle de Concert;http://www.la-java.fr/;105 Rue du Faubourg du Temple;75010
La Maroquinerie;Club;http://www.lamaroquinerie.fr;23 rue Boyer;75020
Le Montana;Club;;28 rue Saint-benoit;75006
Le R Pigalle;Club;http://www.rpigalle.com;77 Rue Jean Batiste Pigalle;75009
Machine du Moulin Rouge (La);MusÇe-Club-Salle de Concert;http://www.lamachinedumoulinrouge.com/en;90 Boulevard de Clichy;75018
Madam (Le);Club;lemadam.com/;128 Rue La BoÇtie;75008
Maison Blanche (La) White Room;Restaurant - Club le samedi (White Room);http://www.maison-blanche.fr/fr/index.html;15 Avenue Montaigne;75008
Malibu (Le);Club;http://www.le-malibu.fr/le-club;44 Rue Tiquetonne;75002
Maxims's (Le);Restaurant/Club;;3 rue Royale;75008
Me & You;Club;;24 rue de Tilsitt;75017
Memphis (Le);Club;http://www.le-memphis.fr;3 impasse Bonne Nouvelle;75010
Mix Club;Club;http://www.mixclub.fr/;24, rue de l'arrivÇe;75015
Monseigneur;Club;http://www.monseigneurparis.com/;94 rue d'Amsterdam;75009
Nano Club (Le);Club;http://www.lenanoclub.com;12 rue Sainte Anne;75011
Neo Club (Le);Club;;23 rue de Ponthieu;75008
No Comment (Le);Club;http://www.nocommentclub.com;36 rue de Ponthieu;75008
Nouveau Casino (Le);Club;http://www.nouveaucasino.net;109 rue Oberkampf;75011
Nuba (Le) -êtÇ;Club/Bar+/Restaurant;http://lenuba.com/;36 Quai d'Austerlitz;75013
OPA (L');Club;http://www.opa-paris.com;9 Rue Biscornet;75012
Palace êlysÇe (Le);Club;;20 rue Quentin-Bauchart;75008
Palais des Congräs;Salle Festival;http://www.viparis.com/viparisFront/do/centre/palais-des-congres-paris/Accueil;128 Rue de Paris;93100 Montreuil
Palais des Congräs;Salle Festival;http://www.parisestmontreuil.com/;2 Place de la Porte Maillot;75017
Palais Maillot;Club;http://palaismaillot.fr/;2 Place de la Porte Maillot;75017
Parisparis (Le);Club;http://www.parisparisclub.com/;5, avenue de l'opÇra;75001
PÇniche Concorde-Atlantique (La);Club PÇniche;http://www.bateauconcordiaatlantique.co;Port SolfÇrino 23 quai Anatole France;75007
Petit Bain (Le);Restaurant-Salle de Concert;http://www.petitbain.org/;7 Port de la Gare;75013
Pigallion (Le);Club;http://www.pigallion.fr/;11 Place Pigalle;75009
Queen Club;Club;http://www.queen.fr/en/;79 Av. des Champs-êlysÇes;75018
Raspoutine;Club;http://raspoutine.com/;58 Rue de Bassano;75008
Red Light (Le);Club;www.leredlight.com/;34 - 36 Rue du DÇpart;75015
Rex Club;Club;http://www.rexclub.com/;5 Boulevard Poissonniäre;75002
River's King Paris;Club;http://www.riversking.fr;Avenue du PrÇsident-Kennedy;75016
RomÇo (Le);Club;http://www.leromeo.fr/;71 boulevard Saint-Germain;75005
Rouge Pigalle (Le) (pire site);Club;http://rouge-club.com/french/#/agenda;77 Rue Jean-Baptiste Pigalle;75009
Sens (Le);Club;;23 Rue de Ponthieu;75008
Showcase Paris;Club;http://showcase.fr/;Sous le Pont Alexandre III, Port des Champs êlysÇes;75008
Silencio (Le);Club;http://www.silencio-club.com;142, rue Montmartre;75002
